_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
663d3c40866cd8bb79779c24,,214.98,100,214.98,87.62,50;0;0;0,words,10,-1,0,2.79,0,0,false,false,english,none,normal,false,false,false,,1715289152000
663d003e866cd8bb797465d4,,200.79,95.92,213.89,90.38,46;2;0;0,words,10,-1,0,2.75,0,0,false,false,english,none,normal,false,false,false,,1715273790000
663cfb63866cd8bb79741703,,182.87,98.04,198.43,51.3,47;0;0;1,words,10,-1,2,3.08,0,3.06,false,false,english,none,normal,false,false,false,,1715272547000
663cf889866cd8bb7973e82e,,211.61,100,211.61,41.29,53;0;0;0,words,10,-1,1,3.01,1,0.74,false,false,english,none,normal,false,false,false,,1715271817000
663ce1a1866cd8bb79726f72,,218.98,100,218.98,85.38,50;0;0;0,words,10,-1,1,2.74,0,0.02,false,false,english,none,normal,false,false,false,,1715265953000
663ce00a866cd8bb7972555b,,177.34,100,177.34,89.32,40;0;0;0,words,10,-1,1,2.71,0,2,false,false,english,none,normal,false,false,false,,1715265546000
663ce001866cd8bb797254d3,,147.36,88.37,181.05,89.81,35;4;0;1,words,10,-1,0,2.85,0,0,false,false,english,none,normal,false,false,false,,1715265537000
663cdffd866cd8bb79725478,,174.62,96.08,202.4,46.58,44;0;1;0,words,10,-1,4,3.02,0,3.04,false,false,english,none,normal,false,false,false,,1715265533000
663cdfd3866cd8bb797251ca,,158.89,91.11,193.24,91.43,37;3;0;1,words,10,-1,2,2.79,0,3.91,false,false,english,none,normal,false,false,false,,1715265491000
663cdfc3866cd8bb797250e9,,184.21,100,184.21,45.92,49;0;0;0,words,10,-1,0,3.19,0,0,false,false,english,none,normal,false,false,false,,1715265475000
663cdf9d866cd8bb79724e9b,,190.79,100,190.79,90.94,43;0;0;0,words,10,-1,26,2.7,0,34.3,false,false,english,none,normal,false,false,false,,1715265437000
663cdea0866cd8bb79723ebf,,211.12,100,211.12,45.41,53;0;0;0,words,10,-1,1,3.01,0,0.6,false,false,english,none,normal,false,false,false,,1715265184000
663cde8a866cd8bb79723d63,,182.76,95.83,199.38,91.32,44;2;0;0,words,10,-1,3,2.89,0,4.09,false,false,english,none,normal,false,false,false,,1715265162000
663cdddd866cd8bb79723229,,185.41,100,185.41,73.27,44;0;0;0,words,10,-1,1,2.85,0,0.8,false,false,english,none,normal,false,false,false,,1715264989000
663cddd2866cd8bb79723178,,187.72,88.46,232.41,94.34,42;4;0;1,words,10,-1,2,2.68,0,2.62,false,false,english,none,normal,false,false,false,,1715264978000
663cddad866cd8bb79722eef,,220.01,100,220.01,96.38,49;0;0;0,words,10,-1,7,2.67,0,10.55,false,false,english,none,normal,false,false,false,,1715264941000
663cdd33866cd8bb79722799,,212.24,100,212.24,97.14,53;0;0;0,words,10,-1,3,3,1,5.9,false,false,english,none,normal,false,false,false,,1715264819000
663cdd25866cd8bb797226c3,,155.08,98.11,155.08,45.32,52;0;0;0,words,10,-1,0,4.02,0,0,false,false,english,none,normal,false,false,false,,1715264805000
663cdd15866cd8bb797225b9,,206.26,100,206.26,94.84,45;0;0;0,words,10,-1,4,2.62,0,6.63,false,false,english,none,normal,false,false,false,,1715264789000
663cdc50866cd8bb797218db,,196.75,100,196.75,63.52,52;0;0;0,words,10,-1,2,3.17,0,2.99,false,false,english,none,normal,false,false,false,,1715264592000
663cdc20866cd8bb797215c3,,184.77,100,184.77,50.99,49;0;0;0,words,10,-1,4,3.18,0,5.72,false,false,english,none,normal,false,false,false,,1715264544000
663cdc0f866cd8bb797214a5,,192.17,98.04,204.18,93.75,48;0;0;1,words,10,-1,2,3,1,1.33,false,false,english,none,normal,false,false,false,,1715264527000
663cd96c866cd8bb7971e987,,159.17,97.34,162.33,78.97,252;0;0;1,words,50,-1,1,19,1,0.74,false,false,english,none,normal,false,false,false,,1715263852000
